NUMBER LOVE_H LOVE_L LOVE_K
381 -4.31016299 0.002629495 -0.0045542163
382 -4.314498531 0.0026252918 -0.0045468414
383 -4.318828879 0.0026211208 -0.004539507
384 -4.323154018 0.0026169816 -0.0045322129
385 -4.327473931 0.0026128739 -0.0045249587
386 -4.331788603 0.0026087973 -0.0045177439
387 -4.336098014 0.0026047516 -0.0045105682
388 -4.34040215 0.0026007365 -0.0045034313
389 -4.344700995 0.0025967516 -0.0044963326
390 -4.348994532 0.0025927966 -0.004489272
391 -4.353282744 0.0025888713 -0.004482249
392 -4.357565617 0.0025849753 -0.0044752632
393 -4.361843133 0.0025811083 -0.0044683143
394 -4.366115279 0.0025772701 -0.0044614019
395 -4.370382038 0.0025734603 -0.0044545257
396 -4.374643395 0.0025696787 -0.0044476854
397 -4.378899333 0.002565925 -0.0044408806
398 -4.383149839 0.0025621989 -0.004434111
399 -4.387394897 0.0025585001 -0.0044273762
400 -4.391634493 0.0025548283 -0.0044206759
401 -4.39586861 0.0025511833 -0.0044140099
402 -4.400097236 0.0025475648 -0.0044073777
403 -4.404320355 0.0025439726 -0.004400779
404 -4.408537952 0.0025404063 -0.0043942136
405 -4.412750014 0.0025368658 -0.0043876812
406 -4.416956525 0.0025333506 -0.0043811813
407 -4.421157474 0.0025298607 -0.0043747138
408 -4.425352843 0.0025263957 -0.0043682783
409 -4.429542622 0.0025229555 -0.0043618745
410 -4.433726795 0.0025195396 -0.0043555022
411 -4.43790535 0.0025161479 -0.004349161
412 -4.442078271 0.0025127802 -0.0043428506
413 -4.446245548 0.0025094362 -0.0043365709
414 -4.450407165 0.0025061157 -0.0043303214
415 -4.45456311 0.0025028184 -0.0043241019
416 -4.45871337 0.0024995441 -0.0043179122
417 -4.462857932 0.0024962926 -0.004311752
418 -4.466996783 0.0024930636 -0.0043056209
419 -4.471129911 0.0024898569 -0.0042995188
420 -4.475257303 0.0024866723 -0.0042934454
421 -4.479378947 0.0024835095 -0.0042874004
422 -4.483494831 0.0024803684 -0.0042813835
423 -4.487604942 0.0024772488 -0.0042753945
424 -4.491709268 0.0024741503 -0.0042694332
425 -4.495807797 0.0024710728 -0.0042634993
426 -4.499900518 0.0024680161 -0.0042575926
427 -4.50398742 0.00246498 -0.0042517127
428 -4.508068489 0.0024619642 -0.0042458596
429 -4.512143715 0.0024589686 -0.0042400329
430 -4.516213088 0.002455993 -0.0042342324
431 -4.520276594 0.0024530371 -0.0042284579
432 -4.524334225 0.0024501008 -0.004222709
433 -4.528385967 0.0024471838 -0.0042169857
434 -4.53243181 0.002444286 -0.0042112877
435 -4.536471746 0.0024414072 -0.0042056148
436 -4.54050576 0.0024385471 -0.0041999667
437 -4.544533845 0.0024357056 -0.0041943432
438 -4.548555988 0.0024328826 -0.0041887442
439 -4.552572181 0.0024300777 -0.0041831693
440 -4.556582412 0.0024272909 -0.0041776184
441 -4.560586672 0.0024245219 -0.0041720913
442 -4.564584951 0.0024217706 -0.0041665878
443 -4.568577239 0.0024190368 -0.0041611076
444 -4.572563526 0.0024163202 -0.0041556506
445 -4.576543803 0.0024136209 -0.0041502166
446 -4.58051806 0.0024109385 -0.0041448053
447 -4.584486288 0.0024082729 -0.0041394166
448 -4.588448478 0.0024056239 -0.0041340502
449 -4.592404619 0.0024029913 -0.0041287061
450 -4.596354704 0.0024003751 -0.0041233839
451 -4.600298724 0.002397775 -0.0041180835
452 -4.60423667 0.0023951908 -0.0041128048
453 -4.608168532 0.0023926224 -0.0041075475
454 -4.612094302 0.0023900697 -0.0041023114
455 -4.616013973 0.0023875325 -0.0040970964
456 -4.619927535 0.0023850105 -0.0040919023
457 -4.623834981 0.0023825038 -0.004086729
458 -4.627736301 0.002380012 -0.0040815761
459 -4.631631488 0.0023775352 -0.0040764437
460 -4.635520536 0.002375073 -0.0040713314
461 -4.639403433 0.0023726254 -0.0040662392
462 -4.643280175 0.0023701922 -0.0040611668
463 -4.647150751 0.0023677733 -0.0040561141
464 -4.651015157 0.0023653685 -0.004051081
465 -4.654873384 0.0023629776 -0.0040460672
466 -4.658725425 0.0023606007 -0.0040410726
467 -4.662571271 0.0023582374 -0.0040360971
468 -4.666410918 0.0023558876 -0.0040311405
469 -4.670244358 0.0023535513 -0.0040262026
470 -4.674071583 0.0023512283 -0.0040212832
471 -4.677892586 0.0023489184 -0.0040163824
472 -4.681707362 0.0023466215 -0.0040114998
473 -4.685515904 0.0023443376 -0.0040066353
474 -4.689318205 0.0023420663 -0.0040017888
475 -4.693114258 0.0023398077 -0.0039969601
476 -4.696904059 0.0023375616 -0.0039921492
477 -4.700687599 0.0023353278 -0.0039873558
478 -4.704464875 0.0023331063 -0.0039825798
479 -4.708235879 0.0023308969 -0.003977821
480 -4.712000606 0.0023286995 -0.0039730794
481 -4.715759049 0.0023265139 -0.0039683548
482 -4.719511204 0.0023243401 -0.0039636469
483 -4.723257064 0.0023221779 -0.0039589559
484 -4.726996626 0.0023200273 -0.0039542814
485 -4.730729882 0.002317888 -0.0039496234
486 -4.734456828 0.00231576 -0.0039449816
487 -4.738177458 0.0023136431 -0.0039403561
488 -4.741891768 0.0023115373 -0.0039357466
489 -4.745599754 0.0023094424 -0.0039311531
490 -4.749301409 0.0023073584 -0.0039265754
491 -4.752996729 0.002305285 -0.0039220133
492 -4.756685709 0.0023032223 -0.0039174668
493 -4.760368346 0.00230117 -0.0039129357
494 -4.764044634 0.0022991281 -0.00390842
495 -4.76771457 0.0022970965 -0.0039039195
496 -4.771378148 0.0022950751 -0.003899434
497 -4.775035364 0.0022930637 -0.0038949635
498 -4.778686216 0.0022910623 -0.0038905079
499 -4.782330698 0.0022890707 -0.0038860669
500 -4.785968807 0.0022870889 -0.0038816406
501 -4.789600539 0.0022851167 -0.0038772289
502 -4.793225891 0.0022831541 -0.0038728315
503 -4.796844858 0.002281201 -0.0038684483
504 -4.800457438 0.0022792572 -0.0038640794
505 -4.804063627 0.0022773227 -0.0038597245
506 -4.807663421 0.0022753974 -0.0038553836
507 -4.811256818 0.0022734811 -0.0038510565
508 -4.814843813 0.0022715739 -0.0038467432
509 -4.818424405 0.0022696755 -0.0038424434
510 -4.82199859 0.0022677859 -0.0038381573
511 -4.825566367 0.002265905 -0.0038338845
512 -4.829127729 0.0022640327 -0.0038296252
513 -4.832682678 0.0022621689 -0.0038253791
514 -4.836231208 0.0022603136 -0.0038211461
515 -4.839773318 0.0022584666 -0.0038169261
516 -4.843309007 0.0022566279 -0.0038127191
517 -4.846838269 0.0022547974 -0.0038085249
518 -4.850361105 0.002252975 -0.0038043435
519 -4.853877512 0.0022511606 -0.0038001747
520 -4.857387486 0.0022493541 -0.0037960185
521 -4.860891028 0.0022475554 -0.0037918748
522 -4.864388135 0.0022457645 -0.0037877434
523 -4.867878805 0.0022439813 -0.0037836243
524 -4.871363035 0.0022422057 -0.0037795175
525 -4.874840826 0.0022404376 -0.0037754227
526 -4.878312175 0.0022386769 -0.0037713399
527 -4.88177708 0.0022369237 -0.0037672691
528 -4.88523554 0.0022351777 -0.0037632101
529 -4.888687555 0.0022334389 -0.0037591629
530 -4.892133122 0.0022317072 -0.0037551274
531 -4.895572241 0.0022299827 -0.0037511035
532 -4.89900491 0.0022282651 -0.003747091
533 -4.902431129 0.0022265544 -0.00374309
534 -4.905850898 0.0022248506 -0.0037391004
535 -4.909264213 0.0022231535 -0.003735122
536 -4.912671076 0.0022214631 -0.0037311548
537 -4.916071486 0.0022197794 -0.0037271987
538 -4.919465441 0.0022181022 -0.0037232536
539 -4.922852941 0.0022164316 -0.0037193195
540 -4.926233988 0.0022147673 -0.0037153962
541 -4.929608579 0.0022131094 -0.0037114838
542 -4.932976714 0.0022114578 -0.003707582
543 -4.936338394 0.0022098124 -0.003703691
544 -4.939693618 0.0022081732 -0.0036998105
545 -4.943042387 0.0022065401 -0.0036959404
546 -4.946384699 0.002204913 -0.0036920808
547 -4.949720555 0.0022032919 -0.0036882316
548 -4.953049958 0.0022016766 -0.0036843926
549 -4.956372904 0.0022000672 -0.0036805639
550 -4.959689396 0.0021984636 -0.0036767453
551 -4.962999435 0.0021968657 -0.0036729368
552 -4.966303018 0.0021952735 -0.0036691383
553 -4.96960015 0.0021936868 -0.0036653497
554 -4.972890828 0.0021921057 -0.003661571
